SurveyItemPGPhoneCalibrationKey,SurveyItemKey,PatientDischargeStartDateKey,PatientDischargeEndDateKey,PGResponseScoreCalibrationFactor,PGTopBoxScoreCalibrationFactor,EDWSourceKey,EDWCreatedDateTime,EDWModifiedDateTime
1,4,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
2,113,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
3,224,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
4,334,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
5,441,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
6,549,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
7,651,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
8,658,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
9,750,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
10,847,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
11,917,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
12,918,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
13,919,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
14,920,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
15,958,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
16,1047,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
17,1143,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
18,1167,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
19,1168,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
20,1169,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
21,1170,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
22,1171,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
23,1172,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
24,1173,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
25,1174,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
26,1207,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
27,1208,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
28,1209,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
29,1211,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
30,1212,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
31,1213,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
32,1249,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
33,1346,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
34,1439,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
35,1546,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
36,1630,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
37,1737,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
38,1766,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
39,1831,19000101,20991231,-2.24909,-0.03312,4,30:51.0,30:51.0
